sample,Sample.Category,Necropolis,Tooth.health,p_Sediment.Soil,p_Skin,p_aOral,p_mOral,p_Unknown,oral_contam_ratio,high_oral_prop,passed_cuperdec
RDC_4_H31,Human,Isola Sacra,Healthy,0.4412,0.6976,71.5561,26.5191,0.786,46.3227978305592,TRUE,TRUE
RDC_6_EB12,Ext Blank,NA,NA,38.1974,0,0,0,61.8026,0.0255118961971968,FALSE,FALSE
RDC_2_H8,Human,Isola Sacra,Healthy,0.3399,0.5764,75.2009,22.4613,1.4214,51.4857798883265,TRUE,TRUE
RDC_6_H68,Human,Lucus Feroniae,Healthy,0.3785,0.6892,63.5058,32.0235,3.403,46.6843836146443,TRUE,TRUE
RDC_2_H6,Human,Isola Sacra,Healthy,0.4887,0.9964,67.5432,29.5704,1.4012,39.4807452416402,TRUE,TRUE
RDC_2_H11,Human,Selvicciola,Healthy,2.179,2.118,48.3457,41.8033,5.5539,17.2076647158769,TRUE,TRUE
RDC_5_H57,Human,Isola Sacra,Healthy,0.296,0.3335,74.0649,24.5005,0.8051,61.1018103712795,TRUE,FALSE
RDC_4_EB7,Ext Blank,NA,NA,0,0,57.1429,0,42.8571,58.1429,FALSE,TRUE
RDC_2_H3,Human,Lucus Feroniae,Healthy,0.3524,0.3879,72.782,24.6143,1.8634,56.539849451244,TRUE,TRUE
RDC_5_H48,Human,Lucus Feroniae,Healthy,0.4757,0.581,70.8979,26.4953,1.55,47.8403267370059,TRUE,TRUE
RDC_6_H71,Human,Isola Sacra,Healthy,0.264,0.1983,79.1373,19.3895,1.011,68.0618204198865,TRUE,TRUE
RDC_6_S8,Soil,Lucus Feroniae,NA,10.016,4.2076,40.9101,30.5282,14.338,4.7582897606348,FALSE,FALSE
RDC_4_EB8,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_5_H43,Human,Lucus Feroniae,Healthy,0.326,0.3177,77.7896,19.9336,1.6331,60.0615684127274,TRUE,TRUE
RDC_3_H15,Human,Lucus Feroniae,Caries,0.4154,0.5672,75.3172,22.7869,0.9134,49.986936346212,TRUE,TRUE
RDC_6_LP_B12,LP Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_3_S4,Soil,Lucus Feroniae,NA,46.1985,0.7264,0.2886,0.1364,52.6501,0.0297340213542438,FALSE,FALSE
RDC_5_H46,Human,Lucus Feroniae,Caries,0.8788,0.9249,76.4966,20.011,1.6887,34.7781859685416,TRUE,FALSE
RDC_4_H30,Human,Lucus Feroniae,Healthy,1.0169,1.7819,57.6456,36.3824,3.1732,25.0152679793619,TRUE,TRUE
RDC_4_H40,Human,Selvicciola,Healthy,0.4702,0.7593,79.8026,18.2408,0.7271,44.4240412648576,TRUE,TRUE
RDC_6_EB11,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_3_H23,Human,Selvicciola,Caries,0.7464,2.775,49.0334,45.8173,1.6279,21.1993409121069,TRUE,TRUE
RDC_2_S3,Soil,Lucus Feroniae,NA,42.0037,0.6675,0.3991,0.3659,56.5638,0.0404156515048819,FALSE,FALSE
RDC_3_H22,Human,Selvicciola,Healthy in caries mouth,0.1248,0.8886,76.3898,22.0753,0.5214,49.4015595510082,TRUE,TRUE
RDC_3_H14,Human,Lucus Feroniae,Caries,2.5307,0.5552,67.4889,25.8805,3.5448,23.0963557600529,TRUE,FALSE
RDC_5_H55,Human,Isola Sacra,Healthy,0.2282,0.335,79.4379,18.4163,1.5826,63.2383572159672,TRUE,TRUE
RDC_4_S5,Soil,Lucus Feroniae,NA,45.8779,0.7188,0.7951,0.5649,52.0433,0.0495832694283427,FALSE,FALSE
RDC_6_H62,Human,Lucus Feroniae,Healthy in caries mouth,0.3037,0.3234,78.6306,19.4192,1.3231,60.8750537766579,TRUE,TRUE
RDC_5_H52,Human,Isola Sacra,Healthy,0.3168,0.444,73.5535,23.7707,1.915,55.840640617901,TRUE,FALSE
RDC_4_H29,Human,Lucus Feroniae,Healthy,3.0002,0.7403,67.9143,25.1733,3.1719,19.8476110114967,TRUE,FALSE
RDC_4_H33,Human,Isola Sacra,Healthy,0.5705,0.4235,72.3719,25.8277,0.8064,49.7490471414243,TRUE,TRUE
RDC_4_H32,Human,Isola Sacra,Healthy,0.0639,0.3829,76.5891,21.3175,1.6465,68.3623168371579,TRUE,TRUE
RDC_1_S2,Soil,Lucus Feroniae,NA,39.3333,1.3333,0.3333,0.6667,58.3333,0.0480000768001229,FALSE,FALSE
RDC_5_EB9,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_6_H65,Human,Lucus Feroniae,Healthy in caries mouth,0.3152,0.4719,67.7406,28.0247,3.4476,54.1465502769851,TRUE,TRUE
RDC_2_H5,Human,Lucus Feroniae,Healthy,0.3365,0.7542,68.516,27.838,2.5552,46.5652652221744,TRUE,TRUE
RDC_4_H41,Human,Lucus Feroniae,Healthy in caries mouth,2.2158,0.4932,71.7251,23.6789,1.8871,25.99191156646,TRUE,TRUE
RDC_5_H58,Human,Isola Sacra,Healthy,0.3028,0.3293,75.8335,21.7157,1.8187,60.3818393480792,TRUE,TRUE
RDC_4_H38,Human,Isola Sacra,Healthy,0.3239,0.1296,70.5215,28.3447,0.6803,68.7073959408325,TRUE,TRUE
RDC_3_EB6,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_6_H67,Human,Lucus Feroniae,Healthy,0.3004,0.2887,75.2437,22.2852,1.882,62.0029576489837,TRUE,FALSE
RDC_4_H28,Human,Lucus Feroniae,Healthy,0.4618,0.7653,68.7804,28.3703,1.6222,44.0710789816353,TRUE,TRUE
RDC_5_LP_B10,LP Blank,NA,NA,0,0,0,0,100,1,FALSE,FALSE
RDC_2_LP_B4,LP Blank,NA,NA,0,0.6116,55.9633,40.0612,3.3639,60.2038346984363,TRUE,FALSE
RDC_5_H44,Human,Lucus Feroniae,Healthy in caries mouth,0.3946,0.4132,73.3839,24.4208,1.3876,54.654663126452,TRUE,TRUE
RDC_4_H26,Human,Lucus Feroniae,Healthy,0.3519,1.0049,63.6854,30.9467,4.0111,40.5770960624576,TRUE,TRUE
RDC_5_H54,Human,Isola Sacra,Healthy,1.1669,0.5633,67.593,27.9533,2.7236,35.3623544062706,TRUE,TRUE
RDC_6_H66,Human,Lucus Feroniae,Caries,8.3083,0.3856,62.3063,16.1941,12.8056,8.20107490277391,TRUE,FALSE
RDC_3_H13,Human,Lucus Feroniae,Healthy,0.5043,0.7188,71.9352,23.8712,2.9705,43.5456794566146,TRUE,TRUE
RDC_4_H37,Human,Isola Sacra,Healthy,0.5986,0.6261,72.0271,25.2651,1.4831,44.1822268170989,TRUE,TRUE
RDC_2_H10,Human,Selvicciola,Healthy,31.349,1.3954,0.8087,0.7367,65.7101,0.0754317753464279,FALSE,FALSE
RDC_1_H1,Human,Lucus Feroniae,Healthy,0.488,1.1639,66.345,28.6588,3.3443,36.20189298239,TRUE,TRUE
RDC_4_H39,Human,Selvicciola,Healthy,16.8308,1.2317,40.3866,14.4974,27.0535,2.93161967213115,FALSE,FALSE
RDC_1_EB2,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_2_H4,Human,Lucus Feroniae,Healthy,0.4734,0.4594,72.2792,25.3833,1.4047,51.0464093543046,TRUE,TRUE
RDC_5_H49,Human,Lucus Feroniae,Healthy,0.4009,0.6035,71.3071,26.3903,1.2983,49.2403711833965,TRUE,TRUE
RDC_2_H7,Human,Isola Sacra,Healthy,0.6298,2.0022,54.877,39.914,2.577,26.3741740088106,TRUE,TRUE
RDC_3_H16,Human,Isola Sacra,Healthy,0.6751,0.9305,71.8231,25.373,1.1983,37.6865597175315,TRUE,TRUE
RDC_6_H69,Human,Isola Sacra,Healthy,1.2539,1.5676,59.0626,35.0576,3.0583,24.8908020410833,TRUE,TRUE
RDC_2_EB3,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,TRUE
RDC_4_S6,Soil,Selvicciola,NA,28.5993,0.6808,2.8366,0.6241,67.2592,0.147314572937342,FALSE,FALSE
RDC_6_H63,Human,Lucus Feroniae,Healthy,0.656,1.025,61.0646,33.8763,3.3782,35.7854904886236,TRUE,TRUE
RDC_5_H56,Human,Isola Sacra,Healthy,0.2777,0.2786,80.7151,17.695,1.0335,63.8759236651031,TRUE,FALSE
RDC_5_S7,Soil,Lucus Feroniae,NA,44.2647,1.0167,1.7804,1.5347,51.4035,0.0932361596667344,FALSE,FALSE
RDC_6_H64,Human,Lucus Feroniae,Healthy,0.3264,0.9504,58.3508,35.7956,4.5768,41.7895291637386,TRUE,TRUE
RDC_1_H2,Human,Lucus Feroniae,Healthy,0.4661,1.1577,53.9844,41.9937,2.3981,36.9609345224484,TRUE,TRUE
RDC_5_EB10,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_5_H53,Human,Isola Sacra,Healthy,0.3839,0.3851,74.4694,23.6607,1.1008,56.0373657433578,TRUE,FALSE
RDC_5_H50,Human,Lucus Feroniae,Healthy,0.5699,0.5925,65.3013,30.6718,2.8646,44.8451257861635,TRUE,TRUE
RDC_3_H18,Human,Isola Sacra,Healthy,1.6629,3.5492,33.9118,54.0769,6.7991,14.3250591587386,TRUE,TRUE
RDC_6_H70,Human,Isola Sacra,Healthy,0.2113,0.177,81.2896,16.4972,1.8249,71.1566664265649,TRUE,FALSE
RDC_3_H21,Human,Selvicciola,Healthy in caries mouth,19.9114,0.5893,16.9788,8.6881,53.8325,1.24028054900538,FALSE,FALSE
RDC_1_S1,Soil,Lucus Feroniae,NA,44.9214,0.6261,0.7938,0.6656,52.9931,0.0528363499650894,FALSE,FALSE
RDC_5_H61,Human,Selvicciola,Healthy in caries mouth,0.5448,1.2831,64.7526,32.0152,1.4043,34.5725803599844,TRUE,TRUE
RDC_4_H42,Human,Isola Sacra,Caries,28.1229,1.3594,1.6179,1.8202,67.0796,0.145595968808128,FALSE,FALSE
RDC_3_H12,Human,Lucus Feroniae,Healthy,0.3243,0.5998,65.3923,31.9314,1.7522,51.1011381944805,TRUE,TRUE
RDC_5_H51,Human,Isola Sacra,Healthy,0.3195,0.4495,71.5617,26.0504,1.619,55.7445449406444,TRUE,TRUE
RDC_4_H35,Human,Isola Sacra,Healthy,0,0.1712,75.283,23.5121,1.0337,85.2075648907104,TRUE,FALSE
RDC_6_H72,Human,Isola Sacra,Healthy,0.5028,0.7922,69.7249,26.7528,2.2272,42.4739433551198,TRUE,TRUE
RDC_4_H25,Human,Lucus Feroniae,Healthy,0.4102,0.6188,73.2607,24.3754,1.3348,48.6131591917201,TRUE,TRUE
RDC_3_H17,Human,Isola Sacra,Healthy,0.2969,0.2355,80.5207,17.6268,1.32,64.7007961367789,TRUE,FALSE
RDC_3_H24,Human,Selvicciola,Healthy,22.1458,0.1453,2.5388,0.0765,75.0937,0.155222381081186,FALSE,FALSE
RDC_5_H59,Human,Isola Sacra,Healthy,0.2481,0.4718,75.0726,22.3732,1.8343,57.239258096401,TRUE,TRUE
RDC_3_H20,Human,Selvicciola,Healthy,0.9048,0.6183,71.2556,25.4691,1.7523,38.7319963536919,TRUE,TRUE
RDC_5_H47,Human,Lucus Feroniae,Healthy,0.5743,1.0313,69.817,27.0513,1.5261,37.5607537611299,TRUE,TRUE
RDC_5_H45,Human,Lucus Feroniae,Healthy,0.6377,0.9185,66.658,29.8411,1.9448,38.1422032704796,TRUE,TRUE
RDC_4_H27,Human,Lucus Feroniae,Healthy,0.3813,0.5184,76.4452,21.5938,1.0613,52.134021161236,TRUE,TRUE
RDC_3_EB5,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_2_H9,Human,Isola Sacra,Healthy,0.4404,0.8186,64.6285,30.8042,3.3083,42.6882248782647,TRUE,TRUE
RDC_3_H19,Human,Isola Sacra,Healthy,0.2411,0.3612,78.0353,20.5865,0.7758,62.1742495163203,TRUE,FALSE
RDC_5_H60,Human,Selvicciola,Healthy,0.4623,0.1181,77.0843,18.381,3.9543,61.0385345482156,TRUE,FALSE
RDC_4_H34,Human,Isola Sacra,Healthy,0.1895,0.6273,66.8825,29.2487,3.052,53.4627917217085,TRUE,TRUE
RDC_4_H36,Human,Isola Sacra,Healthy,0.3641,1.0404,67.7003,29.0221,1.8731,40.6414639218133,TRUE,TRUE
